   22
TCNE-Benzene
    6    0.00000    1.39877   -2.10067 -> DOSO001
    6    0.00000   -1.39877   -2.10067 -> DOSO002
    6    1.21314    0.69957   -2.10094 -> DOSO003
    6   -1.21314    0.69957   -2.10094 -> DOSO004
    6    1.21314   -0.69957   -2.10094 -> DOSO005
    6   -1.21314   -0.69957   -2.10094 -> DOSO006
    6    0.00000    0.68629    1.54255 -> DOSO007
    6    0.00000   -0.68629    1.54255 -> DOSO008
    6   -1.22092    1.43407    1.55350 -> DOSO009
    6    1.22092    1.43407    1.55350 -> DOSO010
    6   -1.22092   -1.43407    1.55350 -> DOSO011
    6    1.22092   -1.43407    1.55350 -> DOSO012
    1    0.00000    2.49131   -2.10485 -> DOSO013
    1    0.00000   -2.49131   -2.10485 -> DOSO014
    1    2.15872    1.24669   -2.10253 -> DOSO015
    1   -2.15872    1.24669   -2.10253 -> DOSO016
    1    2.15872   -1.24669   -2.10253 -> DOSO017
    1   -2.15872   -1.24669   -2.10253 -> DOSO018
    7   -2.20482    2.05448    1.57451 -> DOSO019
    7    2.20482    2.05448    1.57451 -> DOSO020
    7   -2.20482   -2.05448    1.57451 -> DOSO021
    7    2.20482   -2.05448    1.57451 -> DOSO022
